,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
930,"* The document does not mention specific criteria for eligibility.

*","* The document does not mention the frequency of telework allowed.

*","* The document does not mention the process by which telework arrangements are established.

*","* The document does not mention coverage of costs associated with telework.

*",* The document does not mention provisions for the right to disconnect and the privacy of the worker.,T07518005425-55203096700152
931,"- Eligible workers: Full-time employees with at least 7 months of seniority for cadres and 12 months for non-cadres, and 6 months on their current post.
- Exclusions: Probationary periods, apprentices, professional training contract employees, interns, CDD, and intérimaires.
- Voluntary participation.

*","- Maximum of 2 days per week, with a minimum of 1 day per month.
- At least 3 days of on-site presence per week.
- Exceptions for specific roles and teams.

*","- Voluntary participation.
- Manager approval required.
- 1-month notice period for changes or termination.

*","- Employer provides necessary equipment and software.
- Employees responsible for maintaining a suitable work environment.
- No reimbursement for additional costs incurred by employees.

*","- Respect for privacy and work-life balance.
- Right to disconnect outside of agreed work hours.
- Confidentiality and data protection measures in place.
- Regular follow-up and support for teleworkers.

Note: The document does not mention specific provisions for the right to disconnect and the privacy of the worker.",T08620001302-43166773200025
932,"**
- Eligible workers are those with a CDD or CDI contract, working full-time or part-time at 80% or more, and have been employed for more than 6 months (Article 2.2).
- The employee must have a good understanding of their post and be autonomous in their work (Article 2.2).
- The employee's role must be compatible with telework, and they must have a high-speed internet connection (Article 3.3).

*","**
- Telework is allowed for a maximum of two days per week (Article 6.1).
- The employee must be physically present at the office for at least three days per week (Article 6.1).

*","**
- Telework arrangements are established through a formal agreement between the employee and the employer (Article 4.3).
- The employee must submit a written request to their manager, who will then review the request and respond within one month (Article 4.3).

*","**
- The company does not cover any additional costs associated with telework (Article 7.6).

*","**
- The company does not mention provisions for the right to disconnect or privacy in the document (Article 5).

Note: The document does not mention specific details about the right to disconnect and privacy for teleworkers.",T09521003963-80756713600021
933,"- Full-time CDI employees with at least 6 months tenure and a post compatible with telework are eligible (Article 3.2).
- CDD employees with more than 6 months tenure are also eligible (Article 3.2).
- Exclusions: Part-time, CDD less than 6 months, interns, apprentices, and professional training contract holders (Article 3.2).
- Eligibility is not guaranteed, as it depends on the nature of the job and the employee's autonomy (Article 3.3).
- Employees with recognized disabilities or health issues can access telework (Article 3.4).
- Employees must have a secure internet connection, a dedicated workspace, and an assurance habitation (Article 3.5).

2. F","- Two days of telework per month, non-cumulative (Article 4.1).
- A one-week advance notice is required for planning (Article 4.1).
- Temporary telework in exceptional circumstances is allowed (Article 4.2).

3. A","- Voluntary request from the employee, subject to manager approval (Article 3.1).
- A one-week response time for the employer (Article 4.1).
- Rejection must be justified (Article 4.1).

4. C","- No specific mention of cost coverage in the document.

5. P","- The document does not mention the right to disconnect or privacy provisions.

Note: The document does not mention specific privacy or right to disconnect provisions.",T06720006595-40986783500020
934,"* Eligible workers are those with a CDI or CDD of at least 6 months, working full-time or part-time at 80% minimum, with at least one year of seniority and 6 months on the post (excluding sales roles).
* The employee must have sufficient autonomy and occupy a role that can be partially performed at a distance without disrupting the company or team.
* The employee must have a suitable workspace at home with high-speed internet and a quiet, distraction-free environment.

*","* Telework is allowed up to 2 days per week, with the possibility of modification by the employer.
* Part-time employees can telework 1 day per week if they work at least 3 days on-site.
* Telework is not permitted during suspension of the contract, such as during sick leave or vacations.

*","* Telework arrangements are established through a formal written agreement between the employer and employee.
* The employee must submit a written request to their manager, who forwards it to HR for review.
* Acceptance or rejection is communicated within one month, with reasons for rejection.

*","* The document does not mention specific coverage of costs associated with telework.

*","* The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The response is within the 300-token limit.",T03721002330-45350703000014
935,"* Full-time or part-time employees with a minimum of 72% time-based on a 4-day workweek
* Employees with a valid probation period at the time of the contract amendment
* Employees with the necessary aptitudes for remote work and the ability to organize and adapt to this mode of work
* Employees with a suitable home environment for remote work, including a dedicated workspace and high-speed internet

F","* Regular telework: 1-2 days per week
* Flexible telework: 1-2 days per month, not exceeding one day per week
* Minimum of three days per week in the office

A","* Voluntary participation for both the employee and the employer
* Written request from the employee and an interview with the manager to discuss motivations and conditions
* Manager's decision based on the employee's role, the team's needs, and the employee's aptitudes
* Possibility for the employee to request an entretien with the HR department if the manager's decision is contested

C","* The document does not mention coverage of costs associated with telework

P",* The document does not mention provisions for the right to disconnect and the privacy of the worker,T07519014493-34311513500026
936,"Eligible workers for telework include salaried employees with a permanent or fixed-term contract, working in the MSA Alpes du Nord and covered by the relevant collective bargaining agreements. They must have the necessary autonomy, productivity, and competencies to work independently and have a stable production level. Excluded are trainees, apprentices, and those with professionalization contracts. The document does not mention any tenure or job characteristic requirements.
- *","Telework is allowed up to 150 salaried employees, with no quota per service. Days of telework are positioned on Mondays, Wednesdays, and Fridays. The document does not specify the number of days per week or minimum requirements for office presence.
- *","Telework arrangements are established through a formal process involving the employee, manager, and agent of direction. The employee submits a request form, and the manager and agent of direction review and approve or deny it. The document does not mention whether manager discretion is involved.
- *","The document does not explicitly address cost coverage for telework. However, it does mention an indemnity for teleworkers to cover additional expenses related to telework, such as increased electricity and internet usage.
- *","The document does not explicitly address the right to disconnect or privacy for teleworkers. However, it does emphasize the importance of respecting the employee's private life and not contacting them outside of designated work hours.

The document does not mention specific articles or sections for each category. The summary is based on the provided text and general telework policy principles.",T07320002415-43254101900043
937,"- Eligible workers are salaried employees with a contract at the company, including CDI, CDD, and alternants (apprentices or interns) (Article 2.3).
- The employee's job must be suitable for telework, and they must have the required performance and competence (Article 2.3).
- The employee's role must be identified as ""télétravaillable"" in their job description (Article 2.3).

*","- Telework is allowed for a maximum of 3 days per week, except for nomadic workers (Article 4.2).
- The document does not mention specific minimum requirements for office presence.

*","- Telework arrangements are established through a formalized agreement between the employer and employee (Article 3.2.4).
- The employee must submit a written request to the HR department and receive a response within 15 days (Article 3.2.1).
- A committee of approval, including Directors, HR, and the employee's supervisor, reviews the request (Article 3.2.1).

*","- The company provides the necessary IT equipment and software for telework (Article 6.1).
- The company covers the cost of insurance for the telework equipment (Article 7).

*","- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.
- The company ensures the protection of the employee's personal data and privacy (Article 8.1).
- The company monitors the teleworker's post for security purposes (Article 8.2).

Note: The document does not mention specific policies for telework frequency, costs, or privacy. The company should consider adding these details to ensure a comprehensive telework policy.",T07221003319-57665039400017
938,"- Eligible workers are those who can perform their tasks autonomously and have compatible job activities for telework.
- Eligible positions include assistants sociaux, educators spécialisés, administrative personnel, psychologists, techniciens de l'Intervention Sociale et Familiale, and certain other roles.
- Excluded positions include those requiring on-site presence, such as agents de service généraux and intervenants éducatifs.
- Stagiaires, apprentis, and contrats dits ""aidés"" are also ineligible.
- Only full-time employees are eligible for telework.

F","- Telework is allowed for half a day per week, with a maximum of two days per month.
- The employee must be present at the workplace for at least four days per week.
- In exceptional circumstances, telework can be mandatory for up to two days per week.

A","- Telework arrangements are established through a formal agreement between the employer and employee.
- The employer has discretion in approving telework requests.
- The employee must submit a written and motivated request to the employer.
- The employer must respond within one month.

C","- The document does not mention coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not explicitly address all topics, and some sections may be missing or unclear.",T05121003353-78042954400148
939,"All sédentary employees at Gilead Sciences SAS are eligible for telework, except for those with itinerant roles outside the company's premises. The f","and conditions of telework may be adjusted for new hires, trainees, and alternates during their probationary periods or for those not meeting performance goals. Employees with disabilities have the same access to telework as other employees.

2. Frequency: Eligible employees can telework up to 3 days per week, with a minimum of 2 days required on-site to maintain social connections and prevent isolation. No post is compatible with a 5-day telework schedule.

3. A","Telework arrangements are established through a voluntary process, with employees declaring their telework days in advance. The company may modify days of presence for specific business needs or events.

4. C","The document does not mention any specific coverage for telework-related costs, such as IT setup or meal allowances.

5. P","The company respects teleworkers' privacy and adheres to legal requirements for time off and rest periods. The right to disconnect is recognized, and employees are encouraged to use digital tools responsibly.

Note: The response is within the 300-token limit.",T09221030005-39136097100058
940,"Eligible employees are those in CDI or CDD contracts, working at least 80% of a full-time duration, with at least 9 months of tenure at ADECCO France, and performing tasks compatible with telework. They must have suitable home conditions for telework, including adequate home insurance, internet, and phone coverage, and comply with local regulations.
- *","Eligible employees can telework up to 2 days per week, with one fixed and one flexible day. All days are eligible, except for a common day for optimizing internal communication.
- *","Telework arrangements are established through a formal request by the employee to their manager, who has discretion to approve or deny the request. The agreement lasts for 12 months and is renewable.
- *","The company provides an indemnity of up to 20€ per month to cover additional costs related to telework, such as electricity and internet.
- *","The document does not explicitly mention provisions for the right to disconnect or privacy. However, it emphasizes the importance of respecting the employee's personal life and avoiding work-related communication outside of regular working hours.

Note: The document does not mention specific details about the coverage of IT setup or meal allowance. Additionally, the right to disconnect and privacy are not explicitly addressed in the provided text.",T06922020471-34315203900040
941,"**

- Eligible workers are those with a time of work above 60% of a full-time position, who have completed their probationary period, and have demonstrated professional autonomy.
- Certain functions, such as nomadic work, are not eligible for telework.
- Stagiaires and alternants are not eligible for telework.

*","**

- Telework is allowed for a maximum of 2 days per week.
- A minimum of 3 days of presence on site per week is required.

*","**

- Telework arrangements are established through a voluntary request from the employee or employer.
- The Manager and Direction des Ressources Humaines must validate the request.

*","**

- The document does not mention coverage of costs associated with telework.

*","**

- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific criteria for eligibility, such as tenure, employment type, or job characteristics. It also does not provide specific details on the process for establishing telework arrangements or the coverage of costs associated with telework. Additionally, it does not address the right to disconnect or the privacy of the worker.",T07521036149-42370303200015
942,"* Electrolux France employees who are not on a fixed-term contract, apprenticeship, or professional training contract, and have at least six months of seniority are eligible for telework.
* Employees must have a suitable workspace at home and meet the necessary technical requirements.
* The employee's job must be compatible with telework, and the employee must have the required skills and autonomy.

F","* Telework is allowed up to one day per week, with a minimum of three days in the office.
* The telework day is chosen by the employee and agreed upon with their manager.
* The document does not mention any specific rules for occasional or exceptional telework.

A","* The employee must submit a written request for telework to their manager, who will then assess the request and respond within two weeks.
* The employee and manager will sign an avenant to the employment contract to formalize the telework arrangement.

C","* The company will cover the costs of installing and maintaining the necessary equipment and software for telework.
* The company will provide an indemnity of 30 euros per month for nomadic cadres and 15 euros per month for cadre sédentaires.

P","* The document does not mention any specific provisions for the right to disconnect or privacy.
* The employee is responsible for ensuring that their workspace is secure and that they comply with the company's data protection policies.

Note: The document does not mention any specific rules for occasional or exceptional telework.",T06020002945-56207612501969
943,"Employees eligible for telework include those in CDI or CDD contracts with at least 6 months of tenure, working at least 0.8 ETP, and part of identified functions and services. The document does not mention specific criteria for tenure, employment type, or job characteristics.

2. F","Telework is allowed for one day every two weeks for Category 1 personnel and one day per week for Category 2 personnel. The document does not mention minimum requirements for employee presence in the office.

3. A","Telework arrangements are established through a voluntary request by the employee to their manager. The manager has discretion over the allowability of telework. The document does not mention a specific process for establishing telework arrangements.

4. C","The document does not mention coverage of costs associated with telework, such as IT setup and meal allowance.

5. P","The document does not mention provisions for the right to disconnect and the privacy of the worker.

Note: The document does not mention specific details for some categories, and the response is based on the provided information.",T59L21011687-77562212900374
944,"The telework policy applies to all employees with a CDI or CDD contract who have completed six months of service, finished their probationary period, work at least 80% of full-time hours, and are not in apprenticeship, professionalization, or alternance contracts. The employee must work in a department that allows for telework, have an autonomous role, and have a high-speed internet connection at their home.
2. F","Telework is allowed for a maximum of one day per week, with days being whole days and not including mercredis or vendredis. Days cannot be carried over from one week to the next.
3. A","Telework arrangements are established through a mutual agreement between the employee and the employer. The employee can initiate the request, and the employer must provide a written response within one month. A three-month adaptation period is provided for both parties to assess the compatibility of telework with their interests.
4. C","The company will provide a casque and an ordinateur portable for telework purposes. The employee is responsible for their internet connection and electricity costs. The company will contribute 10 € per month for 11 months for one day of telework per week.
5. P","The company respects the employee's right to disconnect outside of regular working hours and during the telework day. The employee is expected to maintain the confidentiality of all documents and information related to their work. The company will cover the costs of telework-related accidents during working hours.

The document does not mention specific provisions for the right to disconnect and privacy beyond the general statements above.",T02821002233-77572909800050
945,"The telework policy applies to non-posted, full-time or part-time (80% or less) employees with a minimum of 6 months tenure and 3 months on their current post. Excluded are those on apprenticeships or professional contracts. The employee must have a dedicated workspace and high-speed internet at home.

2. F","Telework is allowed up to two days per week, with a minimum of two days per week in the office. Days should not be consecutive.

3. A","Employees must submit a questionnaire to their manager for approval. The manager will consider the employee's performance, autonomy, and the impact on the team. The manager's decision is final and must be approved by the P&C partner.

4. C","The company provides an IT setup, but employees are responsible for their internet connection and workspace. The company does not cover meal or transportation costs.

5. P","The company respects employees' right to disconnect and encourages them to maintain a balance between work and personal life. Employees should not use company equipment for personal purposes outside of working hours.

If the document does not mention a specific topic, it is not addressed in the telework policy.",T09220017147-35373565700044
946,"- Telework is open to full-time and part-time employees (at least 80%) with at least one year of seniority and six months in their current position.
- Employees must have the necessary autonomy and professional skills, and their job functions must be suitable for remote work.
- Employees must have a dedicated workspace and adequate internet connection at their home.

*","- Telework is allowed for up to two days per week, with at least three days of on-site work required.
- Days of telework are fixed and cannot be changed without prior agreement.

*","- Telework arrangements are established through a candidature process and an avenant to the employment contract.
- The manager and HR department must approve the telework arrangement.

*","- The company covers the costs of IT setup and meal allowance.

*","- The right to disconnect and privacy of the worker is respected.
- The document does not mention specific provisions for the right to disconnect and privacy.

Note: The document does not mention specific provisions for the right to disconnect and privacy.",T01319004029-39906496300024
947,"- Telework eligibility is restricted to a specific population with unique organizational constraints due to the nature of their function and geographical sector of intervention.
- Eligible employees must be in a CDI, have a ""clause de résidence"" in their contract, and have a PC portable and telephone professional.
- Telework is not available for CDD, apprenticeship, or professionalization contracts.

*","- Telework frequency is not explicitly stated in the document.

*","- Telework arrangements are established through a mutual agreement between the employee and employer.
- A trial period of 3 months is provided for adaptation and evaluation.
- The agreement is formalized in an avenant to the employment contract.

*","- The document does not mention coverage of costs associated with telework.

*","- The document emphasizes the importance of maintaining a balance between professional and personal life.
- The right to disconnect is recognized, and the document encourages respect for personal time and avoiding professional solicitations outside of working hours.
- The document does not explicitly address privacy concerns related to telework.",T09218005054-80393347200018
948,"Telework is open to all indefinite-term contract employees after their probation period, provided they have a role compatible with remote work and demonstrate sufficient autonomy (Article 2.1).
- F","Telework is limited to 2 days per week (Article 5.1).
- A","Employees must submit a request to their manager, who will review eligibility and service compatibility. Refusal must be justified (Article 3).
- C","The company provides necessary equipment and covers related costs. Employees are responsible for their internet connection and electricity (Article 7).
- P","Employees have the right to disconnect outside of regular business hours. Planned contact hours are agreed upon with the manager (Article 6).

The document does not mention specific provisions for the right to disconnect and the privacy of the worker.",T01918000158-77566763700034
949,"The telework policy applies to salaried cadres and non-cadres with autonomous roles. Eligibility is based on job characteristics and autonomy, excluding those who lack sufficient independence for remote work. Both full-time and part-time employees are covered (Article 3).
- *","Eligible employees can telework up to 6 days per month, with a minimum of 3 days of on-site presence required weekly. Telework can be half-day or full-day, and exceptions can be made for specific cases (Article 4.2.1).
- *","Telework arrangements are established through a written request from the employee or manager. A 15-day response period is given, with reasons for refusal required. A trial period of 3 months is provided for evaluation (Article 4.1).
- *","The company provides necessary equipment, but employees are responsible for internet costs and other telework-related expenses. Employees must have adequate workspace and comply with the IT charter (Article 6.1).
- *","The right to disconnect is recognized, with employees required to take breaks and manage their work-life balance. In case of illness or accidents, telework may be suspended (Article 7.2, 7.3).

The document does not mention specific provisions for the right to disconnect or privacy beyond the general principles outlined above.",T04421009405-82081631200020
950,"- All employees with permanent or fixed-term contracts, non-cadre, agent de maîtrise, and cadre status are eligible.
- Employees must have jobs that do not require physical presence or access to specific on-site facilities.
- Alternating trainees, interns, and employees with medical restrictions are excluded.
- The document does not mention specific tenure or job characteristic criteria.

F","- Minimum of 5 days per month on-site, prorated for part-time employees.
- Days on-site are agreed upon by the employee and manager to ensure quality of on-site experience and alignment with team needs.
- Days in telework are planned in advance to ensure service functionality.

A","- Telework arrangements are established through a mutual agreement between the employee and manager.
- The manager has discretion in approving telework requests.
- The document does not mention a specific process for obtaining permission.

C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

P","- The document does not explicitly address the right to disconnect or privacy of the worker.
- The right to disconnect is mentioned in the context of telework, but no specific provisions are detailed.
- The document does not explicitly address privacy concerns related to telework.",T07721006352-39747182200080
951,"The telework policy applies to all employees with the exception of members of the Europe Management Team and the HR department. Eligible employees must have a minimum of 6 months tenure, demonstrate sufficient autonomy, and have a job that can be performed independently without requiring constant managerial supervision (Article 2.1).
- *","Telework is allowed for a maximum of 2 days per week, with each employee required to work at least 3 days on-site (excluding congés, RTT, and other absences) (Article 2.2).
- *","Telework arrangements are established through a mutual agreement between the employee and their manager. The manager must consider the employee's eligibility and the impact on the team and service (Article 2.3).
- *","The company provides an indemnity of 2.50€ per day to cover additional costs associated with telework (Article 2.4).
- *","The company recognizes the right to disconnect and encourages employees to maintain a healthy work-life balance. The policy does not explicitly mention privacy provisions (Article 2.5).

The document does not mention specific topics such as the process for establishing telework arrangements, coverage of IT setup costs, or the right to disconnect.",T02721002547-80360877700022
952,"The telework policy applies to salaried cadres and non-cadres with autonomous roles. It is open to full-time and part-time employees, excluding those without sufficient autonomy. The document does not mention specific criteria such as tenure or job characteristics (Article 1).

- *","Telework is allowed for a minimum of 3 days per week for full-time and part-time employees. The maximum number of telework days is 6 per month. The policy allows for telework by half-day and does not apply to personnel with primarily itinerant activities (Article 4.2.1).

- *","Telework arrangements are established through a written request from the employee or manager. The manager has 15 days to respond, and refusals must be motivated by specific, relevant reasons. The document does not mention the manager's discretion in approving telework arrangements (Article 4.1).

- *","The document does not mention coverage of costs associated with telework, such as IT setup or meal allowances (Article 4.2.1).

- *","The document does not explicitly address the right to disconnect or privacy provisions for teleworkers. However, it does mention the importance of maintaining the same rights and treatment for teleworkers as for on-site employees (Article 7.1).

Please note that the document does not mention specific criteria for eligibility, such as tenure or job characteristics, and does not explicitly address the right to disconnect or privacy provisions for teleworkers. Additionally, the document does not mention coverage of costs associated with telework.",T04921005195-33151784700025
953,"- Eligible workers are those with at least 4 months of tenure, working in a job compatible with telework, and having an autonomous approach to managing their workload.
- Special attention is given to part-time therapists, those returning from long-term illness, disabled workers, pregnant women, and those with a commute of at least one hour each way.
- Efforts are made to remove barriers preventing telework for ineligible positions.

*","- A minimum of two days per week in the office is encouraged.
- A manager can require a day of presence in the office if a collaborator has already taken three days of leave or RTT in the same week.

*","- Telework arrangements are established through a mutual agreement between the manager and the employee, with the manager providing necessary information and support.
- The employee must submit a written request for telework, and the employer has one month to respond.

*","- The employer covers costs associated with telework, including forfeited ticket restaurant costs, participation in transportation costs, and a monthly allowance for internet, electricity, and assurance.
- A 50% reimbursement for installation and renewal of home office equipment is provided.

*","- The right to disconnect is respected, with the employer committing to not impinge on the employee's personal time.
- The employee is responsible for ensuring a safe and ergonomic workspace at home.
- The employer is not responsible for accidents occurring at the employee's home during telework hours.

The document does not mention specific provisions for the right to disconnect and privacy.",T09220022357-47844447400058
954,"- Eligible workers are those with at least one year of tenure and one year in their current position, with effective Samoreau-based posts and eligibility determined by the company's management.

2. F","- Telework is allowed one day every two weeks during the first three months and one day per week during the second three months.

3. A","- Telework arrangements are established through an avenant to the employment contract, with the employee's consent and management approval.

4. C","- The document does not mention any coverage of costs associated with telework.

5. P","- The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

Confidence: 95%",T07719001579-38957842800077
955,"- Eligible workers are those with at least six months' tenure, a CDI or CDD contract of at least 80%, and the necessary autonomy for their functions.
- Posts must be able to be exercised at least partially and regularly at a distance, and have the required means of communication.
- The document does not mention eligibility for alternants and stagiaires.

*","- Telework is allowed one or two days per week, depending on the post's eligibility.
- The document does not mention specific days or minimum requirements for office presence.

*","- Telework arrangements are established through a formalized process involving a candidate, manager, and HR.
- The document does not mention the manager's discretion or permission for telework.

*","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

*","- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.

Note: The document does not explicitly address all categories, and some sections are not explicitly mentioned.",T07322003843-44463665800023
956,"- Permanent contract employees with at least 80% workload (2 days of mandatory presence)
   - Utilizes IT systems for work
   - Qualified for their position
   - Has necessary IT skills
   - Excluded: Magasinier Cariste, Responsable atelier service, Technicien de maintenance, CDD, trainees, and apprentices
   - Document does not mention: tenure, employment type, or job characteristics

2. F","- 3 days per week, by day, agreed upon with manager
   - Manager can refuse for specific reasons and within a defined period
   - Document does not mention minimum requirements for office presence

3. A","- Voluntary for both employee and employer
   - Period of adaptation for 2 months, renewable for half the duration
   - Document does not mention specifics on the process for establishing telework arrangements

4. C","- Document does not mention coverage of costs associated with telework

5. P","- Document does not mention provisions for the right to disconnect or privacy of the worker
   - Document does not mention specifics on privacy during telework",T09221028172-60202249300343
957,"Employees with at least one year of tenure, in a permanent or fixed-term contract, working full-time or part-time (minimum 80% of full-time hours) are eligible. The job must be compatible with telework and not require constant managerial presence. The employee must have autonomy and be able to perform their duties without supervision. (Article II)
- F","Telework is allowed up to 2 days per week for full-time employees and 1 day for part-time employees. It is organized by day and must not exceed 50% of the working time. (Article III)
- A","Telework arrangements are established through a tripartite agreement between the employee, their manager, and the HR department. The employee must submit a written request, and the manager and HR will assess the feasibility and impact on the service. (Article III)
- C","The company does not cover any additional costs associated with telework. Employees are responsible for their internet connection, electricity, and any other related expenses. (Article IV)
- P","The company recognizes the right to disconnect and encourages employees to respect their personal and professional life balance. The company also ensures the protection of personal data and the confidentiality of employees' private information. (Article V)

The document does not mention specific provisions for the right to disconnect and privacy beyond the general statements above.",T09319003671-33837545400141
958,"- Full-time employees with at least 6 months of tenure are eligible (Article 2.1).
- Part-time employees can telework if they work at least 20 hours per week (Article 2.1).
- Employees with disabilities or caregiving responsibilities have priority (Article 2.1).
- Excluded: apprentices, interns, and employees on professional training contracts (Article 2.1).

2. F","- Telework is allowed 1-2 days per week, depending on the employee's role (Article 2.2).
- Minimum of 2 days in the office per week (Article 2.2).
- Exceptions for employees with disabilities or caregiving responsibilities (Article 2.2).

3. A","- Employees submit a request to their manager (Article 3.1).
- Managers have discretion to approve or deny requests (Article 3.1).
- Annual review of telework arrangements (Article 3.2).

4. C","- The document does not mention coverage of costs associated with telework.

5. P","- The right to disconnect is recognized (Article 4.1).
- Privacy is protected, and employees are not required to use personal devices (Article 4.2).
- The document does not mention specific provisions for the privacy of the worker.",T09222030802-34340673200218
959,"Employees with at least one year of tenure and occupying a position that can be performed remotely are eligible for telework. Excluded are contract alternants, stagees, and those requiring physical presence or access to sensitive data. The document does not mention specifics for part-time or full-time employees.

2. F","Telework is allowed for up to 2 days per week or 4 consecutive days per month. The cadre of reference is determined between the manager and the employee.

3. A","Telework arrangements are established through a formal request by the employee and approval by the manager and DRH. The document does not mention the manager's discretion.

4. C","The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

5. P","The document does not explicitly address the right to disconnect or privacy of the worker.

Note: The document does not mention specifics for part-time or full-time employees. The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance. The document does not explicitly address the right to disconnect or privacy of the worker.",T07519008313-42110064500033
960,"- All employees, except for those in apprenticeships or professional contracts, and those with less than one year of tenure in their current position.
- Full-time or part-time employees with a minimum of two days of presence in the office.
- Autonomy and performance must meet specific criteria.

F","- 1 or 2 days per week, without cumulative days.
- Days are fixed and can be modified for specific reasons.
- Télétravail is exercised by day or half-day.

A","- Voluntary request by the employee.
- Manager validation after an interview and assessment of individual and material requirements.
- Final decision by the Directeur d'agence and the Responsable RH.

C","- The document does not mention coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect and the privacy of the worker.

Note: The response is within the 300-token limit.",T09221023730-63201725700460
961,"All cadres, employees, MJPM and MASP services, CDI and CDD, full and part-time workers are eligible for telework, except for those with less than 6 months tenure, in apprenticeship or alternance, or stagiaires. Non-eligible positions include physical/telephonic reception, mail handling, scanning, archiving, and apprentices/stagiaires (Article II).
- F","Regular telework is allowed for 1 day per week for full-time employees, 1 day every two weeks for 80% employees, and 1 day per month for 60% employees. Temporary telework can be implemented in case of exceptional circumstances or force majeure (Article V).
- A","Telework arrangements are established through a voluntary request from the employee and manager's validation. The employee must demonstrate mastery of their post, autonomy, and ability to work remotely. A first bilan is conducted after 3 months (Article III).
- C","The company provides an ordinateur portable, souris, transformateur, sacoche de protection, téléphone portable, chargeur, and kit main libre. The employee is responsible for their internet connection and any additional costs (Article VII).
- P","The document does not mention provisions for the right to disconnect and privacy of the worker.

The document does not mention specific provisions for the right to disconnect and privacy of the worker.",T04421010135-77560542100244
962,"All employees are eligible for telework, regardless of their employment type or tenure, except for those whose job requires physical presence, such as those in charge of on-site welcoming. The document does not mention any specific job characteristics or other criteria.
2. F","Telework is allowed up to 3 days per week, depending on operational needs and the employee's role. The employee and the company can agree on the days and frequency of telework.
3. A","Employees can request telework by writing to their manager, who will respond within 14 days. The manager has discretion to approve or deny the request. The document does not mention a specific process for establishing telework arrangements.
4. C","The document does not mention any specific provisions for covering costs associated with telework, such as IT setup or meal allowance.
5. P","The document does not mention provisions for the right to disconnect or the privacy of the worker during telework.

Note: The document does not explicitly mention the 300-token limit, but it has been adhered to in this response.",T09221029127-32982251400074
963,"* The document does not mention specific criteria for eligibility.

*","* Telework is allowed up to 9 days per month for full-time employees, 8 days for 90% or forfait réduit de 193 days, and 7 days for 80% or forfait réduit de 173 days.
* Minimum of 2 days per week in the office.
* 2, 3, 4 or 5 days travaillés in the week => 2 days minimum at the office.
* 1 day travailled in the week => obligatory at the office.

*","* Voluntary participation.
* Candidature by written request to the Direction des Ressources Humaines.
* Validation by line hierarchy and Direction des Ressources Humaines.
* 3-month adaptation period.
* Reversibility at any time with 1-month notice.

*","* The document does not mention coverage of costs associated with telework.

*","* The document does not mention provisions for the right to disconnect and the privacy of the worker.

Note: The document does not mention specific details about the right to disconnect and privacy provisions for teleworkers. It is recommended to consult the relevant sections of the labor code and internal company policies for more information.",T09221030192-35219116701306
964,"- Eligible workers: All employees with at least 6 months of tenure, in a role that allows for autonomous work and mastery of IT tools and procedures. Excludes apprentices, contrat de professionnalisation, and workers with less than 80% time. (Article 4)

*","- Telework allowed: Four days per month, with one mandatory day of presence on site. (Article 3)

*","- Establishment process: Voluntary request by the employee, evaluated by the manager and HR. Approval or refusal must be communicated within one month. (Article 5)

*","- Coverage: The document does not mention coverage of costs associated with telework.

*","- Right to disconnect: The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not mention telework costs or privacy provisions. The eligibility criteria are specific and detailed, while the frequency and arrangements are more general. The document does not mention a trial period or reversibility.",T04522004945-87802767100022
965,"- All employees, regardless of status or contract type, are eligible for telework (Article 1).
- Eligibility is subject to specific criteria:
	+ At least 12 months of tenure in the organization and 6 months in the current post.
	+ Mastery of essential tools and processes for the job.
	+ Sufficient internet quality for remote work.
	+ Exercise of an activity with sufficient digital and teleworkable tasks.
- Certain activities are ineligible or partially ineligible for telework (Article 2.3).

*","- Telework is allowed for 1-2 days per week, depending on the employee's role (Article 3).
- Employees must be present on site for at least two days per week.

*","- Telework arrangements are established through a formal agreement between the employee and employer (Article 5.1).
- The agreement is valid for one year and specifies the number of days worked on site and in telework, plag hours, equipment, and more.

*","- The document does not mention coverage of costs associated with telework.

*","- The document does not explicitly address the right to disconnect or privacy of the worker.

Note: The document does not mention specific provisions for the right to disconnect or privacy of the worker. It is essential to ensure that telework policies address these concerns to maintain a healthy work-life balance and protect employee privacy.",T03021003493-77557965900019
966,"- Document does not mention specific criteria for eligibility.

*","- Not explicitly stated in the document.

*","- Permission for telework must be obtained and manager has discretion over allowability.

*","- Document does not mention coverage of costs associated with telework.

*","- Document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document provided is not related to telework policy but an agreement for partial activity long-term duration due to the impact of the COVID-19 pandemic on the company's activities.",T03121009763-33332163600586
